# == pyFAI calibration ==
# Distance Sample to Detector: 0.3075 m
# PONI: 6.384e-02, 3.947e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.500 mm
# Center: x=526.252, y=851.258 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.5406e-10 m
# Mask applied: provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ./integrated_200bins.dat
#       q_nm^-1              I           sigma 
  5.528548e+00    4.591483e-04   2.704465e-04
  5.577246e+00    1.409386e-03   4.758513e-04
  5.625944e+00    2.135877e-03   5.880714e-04
  5.674642e+00    1.819599e-03   5.447223e-04
  5.723341e+00    1.741353e-04   1.690555e-04
  5.772039e+00    8.611286e-04   3.770157e-04
  5.820737e+00    1.067974e-03   4.197482e-04
  5.869435e+00    3.938875e-04   2.543221e-04
  5.918133e+00    6.525296e-04   3.265799e-04
  5.966832e+00    5.314421e-04   2.939614e-04
  6.015530e+00    8.519717e-04   3.711004e-04
  6.064228e+00    5.379721e-04   2.940103e-04
  6.112926e+00    4.913754e-04   2.801800e-04
  6.161624e+00    3.394606e-04   2.323080e-04
  6.210323e+00    3.465540e-04   2.349060e-04
  6.259021e+00    1.303525e-03   4.561826e-04
  6.307719e+00    7.511385e-04   3.467993e-04
  6.356417e+00    3.454402e-04   2.354384e-04
  6.405115e+00    1.094298e-03   4.195414e-04
  6.453814e+00    7.157500e-04   3.397084e-04
  6.502512e+00    1.580994e-03   5.053811e-04
  6.551210e+00    4.910660e-04   2.819631e-04
  6.599908e+00    4.739997e-04   2.772781e-04
  6.648606e+00    3.332000e-04   2.326553e-04
  6.697305e+00    4.060598e-04   2.570484e-04
  6.746003e+00    8.863140e-04   3.800783e-04
  6.794701e+00    3.192552e-04   2.282602e-04
  6.843399e+00    1.728258e-03   5.314185e-04
  6.892097e+00    8.964122e-04   3.829746e-04
  6.940796e+00    1.541749e-03   5.025340e-04
  6.989494e+00    4.727868e-04   2.784786e-04
  7.038192e+00    1.070897e-03   4.192773e-04
  7.086890e+00    1.868243e-04   1.751921e-04
  7.135588e+00    1.234285e-03   4.505058e-04
  7.184287e+00    7.857363e-04   3.595881e-04
  7.232985e+00    1.174857e-03   4.398979e-04
  7.281683e+00    5.823653e-04   3.097840e-04
  7.330381e+00    3.848483e-04   2.519310e-04
  7.379079e+00    3.590492e-04   2.433953e-04
  7.427778e+00    5.527485e-04   3.020956e-04
  7.476476e+00    2.830849e-04   2.162039e-04
  7.525174e+00    1.181676e-03   4.418561e-04
  7.573872e+00    5.581484e-04   3.037444e-04
  7.622570e+00    6.434384e-04   3.261647e-04
  7.671269e+00    3.127805e-04   2.274248e-04
  7.719967e+00    1.061046e-03   4.189527e-04
  7.768665e+00    1.846724e-04   1.747641e-04
  7.817363e+00    9.955309e-04   4.058241e-04
  7.866061e+00    6.836316e-04   3.363260e-04
  7.914760e+00    7.277874e-04   3.470411e-04
  7.963458e+00    4.312020e-04   2.670805e-04
  8.012156e+00    1.055947e-03   4.180255e-04
  8.060854e+00    1.862289e-04   1.755288e-04
  8.109552e+00    1.415840e-04   1.530181e-04
  8.158251e+00    6.050923e-04   3.163831e-04
  8.206949e+00    1.869836e-04   1.758332e-04
  8.255647e+00    1.469387e-04   1.558405e-04
  8.304345e+00    2.277674e-04   1.940375e-04
  8.353043e+00    1.714254e-04   1.767226e-04
  8.401742e+00    7.436242e-04   3.915736e-04
  8.450440e+00    0.000000e+00   0.000000e+00
  8.499138e+00    7.942769e-04   4.375679e-04
  8.547836e+00    3.511409e-03   9.518994e-04
  8.596534e+00    1.642256e-03   6.729245e-04
  8.645233e+00    6.740994e-04   4.452104e-04
  8.693931e+00    7.201025e-04   4.752452e-04
  8.742629e+00    3.849150e-04   3.589330e-04
  8.791327e+00    0.000000e+00   0.000000e+00
