# == pyFAI calibration ==
# Distance Sample to Detector: 0.3075 m
# PONI: 6.384e-02, 3.947e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.500 mm
# Center: x=526.252, y=851.258 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.5406e-10 m
# Mask applied: provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ./integrated_1000bins.dat
#       q_nm^-1              I           sigma 
  6.172003e-03    1.296670e+06   9.257718e+02
  1.591164e-02    6.424505e+05   3.810096e+02
  2.565128e-02    2.538544e+05   1.845922e+02
  3.539092e-02    1.074005e+05   1.013366e+02
  4.513056e-02    4.523961e+04   5.796188e+01
  5.487020e-02    1.557272e+04   3.074149e+01
  6.460984e-02    4.871940e+03   1.581231e+01
  7.434948e-02    1.381988e+03   7.836458e+00
  8.408912e-02    2.196725e+02   2.934666e+00
  9.382876e-02    5.522917e+01   1.391657e+00
  1.035684e-01    2.613137e+01   9.104228e-01
  1.133080e-01    1.562619e+01   6.725996e-01
  1.230477e-01    9.964507e+00   5.151620e-01
  1.327873e-01    6.661160e+00   4.052360e-01
  1.425270e-01    4.628113e+00   3.259267e-01
  1.522666e-01    3.073973e+00   2.568957e-01
  1.620062e-01    1.579701e+00   1.785029e-01
  1.717459e-01    8.087238e-01   1.239988e-01
  1.814855e-01    3.253639e-01   7.648300e-02
  1.912252e-01    1.472127e-01   5.010371e-02
  2.009648e-01    1.758429e-01   5.340579e-02
  2.107044e-01    9.720881e-02   3.877187e-02
  2.204441e-01    9.059224e-02   3.658795e-02
  2.301837e-01    1.161335e-01   4.053359e-02
  2.399234e-01    6.821104e-02   3.042295e-02
  2.496630e-01    3.162308e-02   2.030451e-02
  2.594026e-01    3.458992e-02   2.082988e-02
  2.691423e-01    5.271012e-02   2.524144e-02
  2.788819e-01    5.524996e-02   2.538457e-02
  2.886216e-01    2.937301e-02   1.819192e-02
  2.983612e-01    5.329301e-02   2.409983e-02
  3.081008e-01    4.879747e-02   2.269119e-02
  3.178405e-01    1.784596e-02   1.350922e-02
  3.275801e-01    6.107420e-03   7.783868e-03
  3.373198e-01    3.370461e-02   1.801935e-02
  3.470594e-01    1.895085e-02   1.331942e-02
  3.567990e-01    2.085498e-02   1.377978e-02
  3.665387e-01    1.575879e-02   1.181730e-02
  3.762783e-01    3.420587e-02   1.718315e-02
  3.860180e-01    2.588904e-02   1.475784e-02
  3.957576e-01    1.701006e-02   1.181385e-02
  4.054972e-01    1.900790e-02   1.233745e-02
  4.152369e-01    2.058911e-02   1.268483e-02
  4.249765e-01    2.739419e-02   1.446194e-02
  4.347162e-01    1.611843e-02   1.096765e-02
  4.444558e-01    8.211356e-03   7.741677e-03
  4.541954e-01    1.794843e-02   1.132177e-02
  4.639351e-01    2.541418e-02   1.332960e-02
  4.736747e-01    2.255475e-02   1.242701e-02
  4.834144e-01    2.325570e-02   1.249037e-02
  4.931540e-01    2.731058e-02   1.340077e-02
  5.028936e-01    2.000600e-02   1.135758e-02
  5.126333e-01    1.832993e-02   1.076723e-02
  5.223729e-01    1.052465e-02   8.082225e-03
  5.321126e-01    7.578748e-03   6.795198e-03
  5.418522e-01    9.053141e-03   7.359372e-03
  5.515918e-01    1.777835e-03   3.232313e-03
  5.613315e-01    3.125991e-03   4.248621e-03
  5.710711e-01    7.708351e-03   6.614263e-03
  5.808108e-01    7.833472e-04   2.090726e-03
  5.905504e-01    4.097351e-03   4.741769e-03
  6.002900e-01    3.974545e-03   4.632050e-03
  6.100297e-01    2.995593e-03   3.989042e-03
  6.197693e-01    7.710155e-03   6.348922e-03
  6.295090e-01    6.634282e-03   5.843572e-03
  6.392486e-01    7.990728e-03   6.363864e-03
  6.489882e-01    2.889923e-03   3.798142e-03
  6.587279e-01    1.619884e-03   2.822322e-03
  6.684675e-01    3.253142e-03   3.970270e-03
  6.782072e-01    0.000000e+00   0.000000e+00
  6.879468e-01    3.093302e-03   3.816101e-03
  6.976864e-01    6.587518e-03   5.529703e-03
  7.074261e-01    9.394840e-03   6.558025e-03
  7.171657e-01    1.042895e-02   6.862087e-03
  7.269054e-01    5.465517e-03   4.934245e-03
  7.366450e-01    3.628209e-03   3.993464e-03
  7.463846e-01    8.466182e-03   6.060129e-03
  7.561243e-01    7.501435e-03   5.667439e-03
  7.658639e-01    6.508664e-03   5.245339e-03
  7.756036e-01    2.449608e-03   3.197568e-03
  7.853432e-01    9.816867e-03   6.361190e-03
  7.950828e-01    1.279804e-03   2.282634e-03
  8.048225e-01    2.375484e-03   3.090926e-03
  8.145621e-01    6.205304e-03   4.965595e-03
