#name,xdet,xraystart,xrayend,gammastart,gammaend
#th6.5-9.5,1090,30983,30985,-,-
#th7-10,1090,30986,30988,-,-
#th7.5-10.5,1090,30989,30991,-,-
#th7-9,1090,30992,30994,-,-
#th7.5-10.5,1090,30995,30997,-,-
#P3HT,1090,30998,31057,31059,31061
#444,1090,31062,31081,31082,31086
#446+ CV1,1090,31087,31101,31102,31106
#446+ CV2,1090,31107,31126,31127,31131
#447,1090,31142,31156,31157,31161
#Th4 lower,1090,31160,31162,-,-
#D2OH2O CV2,1090,31172,31186,31167,31171
#445,1090,31187,31201,31202,31206
#KlG 484,1090,31208,31227,31228,31232
#KlG 485,1090,31233,31252,31253,31257
#KlG 486,1090,31268,31287,31288,31292
#KlG 487,1090,31293,31312,31313,31317
#KlG 488,1090,31337,31356,31357,31361
#KlG 489,1090,31362,31381,31382,31386
#ToZ 863,1090,31391,31400,31401,31401
#KlG 493,1090,31402,31421,31422,31426
#KlG 494,1090,31427,31446,31448,31452
#KlG 495,1090,31453,31472,31473,31477
#ToZ 865,1090,31478,31487,31488,31488
#ToZ 864,1090,31489,31782,31787,31787
