# == pyFAI calibration ==
# Distance Sample to Detector: 0.3075 m
# PONI: 6.384e-02, 3.947e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.500 mm
# Center: x=526.252, y=851.258 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.5406e-10 m
# Mask applied: provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ././XXXX2_EB_307mm/integrated_200bins.dat
#       q_nm^-1              I           sigma 
  2.435236e-02    3.048681e+06   2.597075e+02
  7.305707e-02    5.955912e+04   2.225511e+01
  1.217618e-01    1.252270e+02   8.002581e-01
  1.704665e-01    1.230144e+01   2.130909e-01
  2.191712e-01    9.274751e-01   5.175985e-02
  2.678759e-01    3.455836e-01   2.863458e-02
  3.165806e-01    3.180397e-01   2.530236e-02
  3.652853e-01    1.801274e-01   1.774071e-02
  4.139900e-01    1.470441e-01   1.506670e-02
  4.626948e-01    1.379011e-01   1.380965e-02
  5.113995e-01    1.383757e-01   1.316442e-02
  5.601042e-01    4.095517e-02   6.845974e-03
  6.088089e-01    3.601145e-02   6.158903e-03
  6.575136e-01    2.272152e-02   4.708664e-03
  7.062183e-01    4.938687e-02   6.699687e-03
  7.549230e-01    3.989454e-02   5.825011e-03
  8.036277e-01    3.560372e-02   5.334239e-03
  8.523324e-01    4.250984e-02   5.659562e-03
  9.010371e-01    4.271899e-02   5.518527e-03
  9.497419e-01    3.145988e-02   4.613059e-03
  9.984466e-01    2.206727e-02   3.768284e-03
  1.047151e+00    1.894877e-02   3.409856e-03
  1.095856e+00    3.248996e-02   4.364512e-03
  1.144561e+00    4.568234e-02   5.064037e-03
  1.193265e+00    2.778292e-02   3.867773e-03
  1.241970e+00    1.899887e-02   3.135037e-03
  1.290675e+00    2.384529e-02   3.445187e-03
  1.339380e+00    1.595491e-02   2.766061e-03
  1.388084e+00    2.331023e-02   3.284065e-03
  1.436789e+00    3.780100e-02   4.111290e-03
  1.485494e+00    2.874308e-02   3.524695e-03
  1.534198e+00    5.172401e-02   4.652282e-03
  1.582903e+00    6.079351e-02   4.965003e-03
  1.631608e+00    4.975874e-02   4.423887e-03
  1.680313e+00    3.147226e-02   3.466642e-03
  1.729017e+00    1.517554e-02   2.372841e-03
  1.777722e+00    2.587192e-02   3.055118e-03
  1.826427e+00    1.900372e-02   2.582860e-03
  1.875131e+00    1.660418e-02   2.382352e-03
  1.923836e+00    4.076333e-02   3.684753e-03
  1.972541e+00    2.215875e-02   2.682692e-03
  2.021245e+00    2.416405e-02   2.767009e-03
  2.069950e+00    3.304961e-02   3.197271e-03
  2.118655e+00    2.207460e-02   2.582402e-03
  2.167360e+00    2.481339e-02   2.706467e-03
  2.216064e+00    3.289276e-02   3.081253e-03
  2.264769e+00    2.733950e-02   2.778432e-03
  2.313474e+00    2.662892e-02   2.712644e-03
  2.362178e+00    1.402157e-02   1.947449e-03
  2.410883e+00    1.316521e-02   1.867520e-03
  2.459588e+00    2.188997e-02   2.383657e-03
  2.508293e+00    9.142785e-03   1.525175e-03
  2.556997e+00    1.214386e-02   1.740605e-03
  2.605702e+00    2.230847e-02   2.336497e-03
  2.654407e+00    5.999800e-03   1.200286e-03
  2.703111e+00    9.613725e-03   1.505266e-03
  2.751816e+00    1.479576e-02   1.850408e-03
  2.800521e+00    1.042272e-02   1.539128e-03
  2.849226e+00    8.845042e-03   1.405363e-03
  2.897930e+00    2.755006e-02   2.458798e-03
  2.946635e+00    9.790636e-03   1.453253e-03
  2.995340e+00    1.818936e-02   2.020255e-03
  3.044044e+00    1.120986e-02   1.638820e-03
  3.092749e+00    4.064446e-03   1.003378e-03
  3.141454e+00    1.266085e-02   1.792594e-03
  3.190159e+00    7.761208e-03   1.417148e-03
  3.238863e+00    2.026914e-02   2.308509e-03
  3.287568e+00    3.800301e-03   1.006502e-03
  3.336273e+00    9.576192e-03   1.594126e-03
  3.384977e+00    8.252340e-03   1.405878e-03
  3.433682e+00    1.469995e-02   1.824921e-03
  3.482387e+00    1.191018e-02   1.611223e-03
  3.531092e+00    3.225662e-03   8.254799e-04
  3.579796e+00    5.566017e-03   1.069743e-03
  3.628501e+00    8.986639e-03   1.342720e-03
  3.677206e+00    1.258849e-02   1.571392e-03
  3.725910e+00    1.201701e-02   1.519254e-03
  3.774615e+00    4.160765e-03   8.850993e-04
  3.823320e+00    6.492367e-03   1.095169e-03
  3.872024e+00    5.663319e-03   1.013674e-03
  3.920729e+00    3.090369e-03   7.422060e-04
  3.969434e+00    6.022120e-03   1.027357e-03
  4.018139e+00    8.225064e-03   1.190853e-03
  4.066843e+00    6.960012e-03   1.086727e-03
  4.115548e+00    4.081907e-03   8.257415e-04
  4.164253e+00    6.305823e-03   1.018536e-03
  4.212957e+00    6.726067e-03   1.044136e-03
  4.261662e+00    9.132973e-03   1.207821e-03
  4.310367e+00    5.575623e-03   9.369887e-04
  4.359072e+00    1.019177e-02   1.257903e-03
  4.407776e+00    5.255611e-03   8.970878e-04
  4.456481e+00    4.496383e-03   8.241558e-04
  4.505186e+00    1.123309e-02   1.293934e-03
  4.553890e+00    6.478890e-03   9.762319e-04
  4.602595e+00    3.337551e-03   6.961366e-04
  4.651300e+00    6.783451e-03   9.861143e-04
  4.700005e+00    4.333232e-03   7.831723e-04
  4.748709e+00    9.627972e-03   1.160138e-03
  4.797414e+00    7.879462e-03   1.043104e-03
  4.846119e+00    1.356911e-02   1.360517e-03
  4.894823e+00    7.286817e-03   9.909856e-04
  4.943528e+00    9.094523e-03   1.100561e-03
  4.992233e+00    4.720385e-03   7.956929e-04
  5.040938e+00    4.128206e-03   7.526432e-04
  5.089642e+00    5.598992e-03   8.800037e-04
  5.138347e+00    4.408270e-03   7.823491e-04
  5.187052e+00    6.353686e-03   9.412652e-04
  5.235756e+00    5.017029e-03   8.535653e-04
  5.284461e+00    6.923995e-03   1.016103e-03
  5.333166e+00    5.707440e-03   9.310142e-04
  5.381871e+00    8.059717e-03   1.114553e-03
  5.430575e+00    1.123743e-02   1.324303e-03
  5.479280e+00    1.025936e-02   1.272192e-03
  5.527985e+00    3.227557e-03   7.169501e-04
  5.576689e+00    1.003562e-02   1.269637e-03
  5.625394e+00    1.529962e-02   1.573748e-03
  5.674099e+00    1.324194e-02   1.469325e-03
  5.722803e+00    1.249870e-03   4.528702e-04
  5.771508e+00    6.080689e-03   1.001752e-03
  5.820213e+00    7.766502e-03   1.131882e-03
  5.868918e+00    2.773721e-03   6.748599e-04
  5.917622e+00    4.737683e-03   8.799396e-04
  5.966327e+00    3.704346e-03   7.760714e-04
  6.015032e+00    6.225835e-03   1.003139e-03
  6.063736e+00    3.741944e-03   7.753803e-04
  6.112441e+00    3.639176e-03   7.624607e-04
  6.161146e+00    2.444092e-03   6.233100e-04
  6.209851e+00    2.450716e-03   6.246279e-04
  6.258555e+00    9.175509e-03   1.210204e-03
  6.307260e+00    5.610179e-03   9.477015e-04
  6.355965e+00    2.479540e-03   6.307280e-04
  6.404669e+00    7.719478e-03   1.114208e-03
  6.453374e+00    5.192106e-03   9.148842e-04
  6.502079e+00    1.138941e-02   1.356344e-03
  6.550784e+00    3.524170e-03   7.553000e-04
  6.599488e+00    3.443353e-03   7.472806e-04
  6.648193e+00    2.353553e-03   6.182875e-04
  6.696898e+00    2.865218e-03   6.827610e-04
  6.745602e+00    6.408517e-03   1.021943e-03
  6.794307e+00    2.332967e-03   6.169968e-04
  6.843012e+00    1.233326e-02   1.419512e-03
  6.891717e+00    6.381576e-03   1.021765e-03
  6.940421e+00    1.103324e-02   1.344245e-03
  6.989126e+00    3.552669e-03   7.633188e-04
  7.037831e+00    7.651639e-03   1.120657e-03
  7.086535e+00    1.376331e-03   4.754787e-04
  7.135240e+00    8.825758e-03   1.204583e-03
  7.183945e+00    5.566736e-03   9.570632e-04
  7.232650e+00    8.504328e-03   1.183448e-03
  7.281354e+00    4.153971e-03   8.273009e-04
  7.330059e+00    2.825125e-03   6.825352e-04
  7.378764e+00    2.546665e-03   6.481727e-04
  7.427468e+00    3.998278e-03   8.124314e-04
  7.476173e+00    2.002889e-03   5.750480e-04
  7.524878e+00    8.511247e-03   1.185762e-03
  7.573582e+00    3.978257e-03   8.108675e-04
  7.622287e+00    4.618111e-03   8.737480e-04
  7.670992e+00    2.211523e-03   6.046955e-04
  7.719697e+00    7.678662e-03   1.126966e-03
  7.768401e+00    1.325602e-03   4.681985e-04
  7.817106e+00    7.117943e-03   1.085069e-03
  7.865811e+00    4.871098e-03   8.977051e-04
  7.914515e+00    5.288219e-03   9.354147e-04
  7.963220e+00    3.012270e-03   7.058618e-04
  8.011925e+00    7.662632e-03   1.126008e-03
  8.060630e+00    1.336759e-03   4.702416e-04
  8.109334e+00    9.874948e-04   4.040861e-04
  8.158039e+00    4.372215e-03   8.504013e-04
  8.206744e+00    1.342191e-03   4.710620e-04
  8.255448e+00    1.034665e-03   4.135066e-04
  8.304153e+00    1.655006e-03   5.230105e-04
  8.352858e+00    1.184619e-03   4.643757e-04
  8.401563e+00    5.386990e-03   1.053674e-03
  8.450267e+00    0.000000e+00   0.000000e+00
  8.498972e+00    5.672637e-03   1.169151e-03
  8.547677e+00    2.502244e-02   2.540619e-03
  8.596381e+00    1.200663e-02   1.819207e-03
  8.645086e+00    4.837793e-03   1.192491e-03
  8.693791e+00    5.167992e-03   1.272952e-03
  8.742496e+00    2.762454e-03   9.614136e-04
  8.791200e+00    0.000000e+00   0.000000e+00
  8.839905e+00    1.820271e-04   2.638954e-04
  8.888610e+00    3.208894e-03   1.148092e-03
  8.937314e+00    0.000000e+00   0.000000e+00
  8.986019e+00    0.000000e+00   0.000000e+00
  9.034724e+00    1.097017e-03   7.529564e-04
  9.083429e+00    3.504158e-03   1.405265e-03
  9.132133e+00    5.160593e-03   1.785290e-03
  9.180838e+00    0.000000e+00   0.000000e+00
  9.229543e+00    0.000000e+00   0.000000e+00
  9.278247e+00    7.186988e-03   2.478770e-03
  9.326952e+00    1.108777e-02   3.290613e-03
  9.375657e+00    6.230359e-03   2.660610e-03
  9.424362e+00    1.143382e-02   3.933956e-03
  9.473066e+00    1.413294e-02   4.859932e-03
  9.521771e+00    0.000000e+00   0.000000e+00
  9.570476e+00    0.000000e+00   0.000000e+00
  9.619180e+00    0.000000e+00   0.000000e+00
  9.667885e+00    0.000000e+00   0.000000e+00
  9.716590e+00    0.000000e+00   0.000000e+00
