# == pyFAI calibration ==
# Distance Sample to Detector: 0.3075 m
# PONI: 6.384e-02, 3.947e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.500 mm
# Center: x=526.252, y=851.258 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.5406e-10 m
# Mask applied: provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ././XXXX2_EB_307mm/integrated_1000bins.dat
#       q_nm^-1              I           sigma 
  4.870471e-03    1.358258e+07   2.098343e+03
  1.461141e-02    7.296678e+06   1.096479e+03
  2.435236e-02    2.944010e+06   5.716863e+02
  3.409330e-02    1.318572e+06   3.313221e+02
  4.383424e-02    6.162312e+05   2.025049e+02
  5.357518e-02    2.487912e+05   1.174516e+02
  6.331612e-02    9.052220e+04   6.558840e+01
  7.305707e-02    2.739884e+04   3.375844e+01
  8.279801e-02    3.482383e+03   1.134485e+01
  9.253895e-02    5.758735e+02   4.375845e+00
  1.022799e-01    2.817446e+02   2.917925e+00
  1.120208e-01    1.614456e+02   2.115562e+00
  1.217618e-01    1.056675e+02   1.644126e+00
  1.315027e-01    7.106491e+01   1.298691e+00
  1.412437e-01    4.906038e+01   1.042375e+00
  1.509846e-01    3.357095e+01   8.348826e-01
  1.607255e-01    1.825468e+01   5.972974e-01
  1.704665e-01    8.610711e+00   3.986450e-01
  1.802074e-01    3.476849e+00   2.465645e-01
  1.899484e-01    1.931171e+00   1.790960e-01
  1.996893e-01    1.523750e+00   1.552574e-01
  2.094303e-01    9.002139e-01   1.165842e-01
  2.191712e-01    7.615266e-01   1.048749e-01
  2.289121e-01    8.605853e-01   1.091394e-01
  2.386531e-01    6.675124e-01   9.417745e-02
  2.483940e-01    2.911052e-01   6.098445e-02
  2.581350e-01    2.272078e-01   5.287055e-02
  2.678759e-01    3.590859e-01   6.526703e-02
